[DEBUG] currentData count: 2074
[DEBUG] currentDataById size: 3618, stocksSource length: 2074
[DEBUG] NIFTY CAPITAL MARKETS match: Multi Commodity Exchange of India Limited, Price: 2390, S: 133.27, R: 143.56
[DEBUG] NIFTY CAPITAL MARKETS match: BSE Limited, Price: 2684.5, S: 24205, R: 25670
[DEBUG] NIFTY CAPITAL MARKETS match: Central Depository Services (India) Limited, Price: 1121, S: 486.2, R: 584.75
[DEBUG] NIFTY CAPITAL MARKETS match: Angel One Limited, Price: 228.7, S: 1134.9, R: 1188.2
[DEBUG] NIFTY CAPITAL MARKETS match: Computer Age Management Services Limited, Price: 626.15, S: 413.05, R: 438.9
[DEBUG] NIFTY CAPITAL MARKETS match: 360 ONE WAM LIMITED, Price: 935, S: 389.15, R: 419.85
[DEBUG] NIFTY CAPITAL MARKETS match: HDFC Asset Management Company Limited, Price: 2211.2, S: 75.09, R: 79.78
[DEBUG] NIFTY CAPITAL MARKETS match: Kfin Technologies Limited, Price: 870, S: 610.1, R: 629.7
[DEBUG] NIFTY CAPITAL MARKETS match: Indian Energy Exchange Limited, Price: 115.1, S: 908.4, R: 1016.1
[DEBUG] NIFTY CAPITAL MARKETS match: Nippon Life India Asset Management Limited, Price: 799, S: 362, R: 423.4
[DEBUG] NIFTY CAPITAL MARKETS match: Anand Rathi Wealth Limited, Price: 3010.5, S: 54.7, R: 64.68
[DEBUG] NIFTY CAPITAL MARKETS match: Motilal Oswal Financial Services Limited, Price: 633.9, S: 360.1, R: 382.6
[DEBUG] NIFTY CAPITAL MARKETS match: Aditya Birla Sun Life AMC Limited, Price: 869.15, S: 1191.9, R: 1302.6
[DEBUG] NIFTY CAPITAL MARKETS match: UTI Asset Management Company Limited, Price: 940, S: 280.35, R: 304.25
[DEBUG] NIFTY CAPITAL MARKETS match: Multi Commodity Exchange of India Limited, Price: 2390, S: 133.27, R: 143.56
[DEBUG] NIFTY CAPITAL MARKETS match: BSE Limited, Price: 2684.5, S: 24205, R: 25670
[DEBUG] NIFTY CAPITAL MARKETS match: Central Depository Services (India) Limited, Price: 1121, S: 486.2, R: 584.75
[DEBUG] NIFTY CAPITAL MARKETS match: Angel One Limited, Price: 228.7, S: 1134.9, R: 1188.2
[DEBUG] NIFTY CAPITAL MARKETS match: Computer Age Management Services Limited, Price: 626.15, S: 413.05, R: 438.9
[DEBUG] NIFTY CAPITAL MARKETS match: 360 ONE WAM LIMITED, Price: 935, S: 389.15, R: 419.85
[DEBUG] NIFTY CAPITAL MARKETS match: HDFC Asset Management Company Limited, Price: 2211.2, S: 75.09, R: 79.78
[DEBUG] NIFTY CAPITAL MARKETS match: Kfin Technologies Limited, Price: 870, S: 610.1, R: 629.7
[DEBUG] NIFTY CAPITAL MARKETS match: Indian Energy Exchange Limited, Price: 115.1, S: 908.4, R: 1016.1
[DEBUG] NIFTY CAPITAL MARKETS match: Nippon Life India Asset Management Limited, Price: 799, S: 362, R: 423.4
[DEBUG] NIFTY CAPITAL MARKETS match: Anand Rathi Wealth Limited, Price: 3010.5, S: 54.7, R: 64.68
[DEBUG] NIFTY CAPITAL MARKETS match: Motilal Oswal Financial Services Limited, Price: 633.9, S: 360.1, R: 382.6
[DEBUG] NIFTY CAPITAL MARKETS match: Aditya Birla Sun Life AMC Limited, Price: 869.15, S: 1191.9, R: 1302.6
[DEBUG] NIFTY CAPITAL MARKETS match: UTI Asset Management Company Limited, Price: 940, S: 280.35, R: 304.25
[DEBUG] NIFTY CAPITAL MARKETS match: Multi Commodity Exchange of India Limited, Price: 2390, S: 133.27, R: 143.56
[DEBUG] NIFTY CAPITAL MARKETS match: BSE Limited, Price: 2684.5, S: 24205, R: 25670
[DEBUG] NIFTY CAPITAL MARKETS match: Central Depository Services (India) Limited, Price: 1121, S: 486.2, R: 584.75
[DEBUG] NIFTY CAPITAL MARKETS match: Angel One Limited, Price: 228.7, S: 1134.9, R: 1188.2
[DEBUG] NIFTY CAPITAL MARKETS match: Computer Age Management Services Limited, Price: 626.15, S: 413.05, R: 438.9
